STEP ACCRATIO <dR> <dR2> <ENERGY>
447 0.314732 -0.00438076 0.0018493 0.0659125
448 0.316258 -0.004403 0.00184564 0.0657821
449 0.317778 -0.0044263 0.00184203 0.0656534
450 0.317073 -0.0044495 0.00183844 0.0655254
451 0.316372 -0.0044726 0.00183486 0.0653979
452 0.315673 -0.00449559 0.0018313 0.065271
453 0.314978 -0.00451849 0.00182776 0.0651446
454 0.314286 -0.00454128 0.00182423 0.0650188
455 0.315789 -0.0045232 0.00182026 0.0648773
456 0.317287 -0.00444056 0.00181869 0.0648215
457 0.316594 -0.00435829 0.00181713 0.064766
458 0.318083 -0.00427348 0.00181578 0.0647176
459 0.317391 -0.00418905 0.00181443 0.0646695
460 0.316703 -0.00410497 0.00181308 0.0646216
461 0.316017 -0.00402127 0.00181175 0.064574
462 0.317495 -0.00407835 0.00180984 0.0645058
463 0.31681 -0.00413518 0.00180793 0.064438
464 0.316129 -0.00419176 0.00180604 0.0643705
465 0.315451 -0.00424811 0.00180415 0.0643033
466 0.316916 -0.00424247 0.0018003 0.0641658
467 0.316239 -0.00423685 0.00179645 0.0640289
468 0.315565 -0.00423126 0.00179263 0.0638926
469 0.314894 -0.00422569 0.00178882 0.0637568
470 0.316348 -0.00422884 0.00178509 0.0636239
471 0.315678 -0.00423199 0.00178138 0.0634916
472 0.315011 -0.00423511 0.00177768 0.0633598
473 0.316456 -0.00418738 0.00177465 0.0632516
474 0.317895 -0.00423841 0.00177261 0.0631791
475 0.317227 -0.00428923 0.00177058 0.0631068
476 0.316562 -0.00433983 0.00176857 0.0630349
477 0.317992 -0.00436894 0.00176556 0.0629279
478 0.317328 -0.00439794 0.00176257 0.0628213
479 0.316667 -0.00442681 0.0017596 0.0627152
480 0.316008 -0.00445556 0.00175663 0.0626095
481 0.315353 -0.00448419 0.00175368 0.0625043
482 0.3147 -0.0045127 0.00175074 0.0623994
483 0.31405 -0.0045411 0.00174781 0.0622951
484 0.313402 -0.00456938 0.00174489 0.0621911
485 0.312757 -0.00459754 0.00174199 0.0620876
486 0.312115 -0.00462559 0.00173909 0.0619845
487 0.311475 -0.00465352 0.00173621 0.0618818
488 0.310838 -0.00468134 0.00173334 0.0617796
489 0.312245 -0.00468431 0.00172988 0.0616562
490 0.313646 -0.00466296 0.00172643 0.0615331
491 0.313008 -0.00464169 0.00172299 0.0614105
492 0.312373 -0.00462051 0.00171956 0.0612883
493 0.311741 -0.00459942 0.00171615 0.0611667
494 0.311111 -0.00457841 0.00171275 0.0610455
495 0.310484 -0.00455748 0.00170937 0.0609249
496 0.309859 -0.00453664 0.00170599 0.0608047
497 0.311245 -0.00453563 0.0017026 0.0606838
498 0.310621 -0.00453462 0.00169922 0.0605633
499 0.31 -0.00453361 0.00169586 0.0604434
500 0.309381 -0.00453261 0.0016925 0.0603239
501 0.308765 -0.00453162 0.00168916 0.0602049
502 0.308151 -0.00453063 0.00168584 0.0600863
503 0.30754 -0.00452964 0.00168252 0.0599682
504 0.306931 -0.00452865 0.00167923 0.0598506
505 0.3083 -0.0044937 0.00167625 0.0597446
506 0.309665 -0.00448474 0.00167294 0.0596267
507 0.311024 -0.00448997 0.00166975 0.0595129
508 0.312377 -0.00446173 0.00166666 0.0594028
509 0.313726 -0.00447432 0.00166363 0.0592946
510 0.313112 -0.00448686 0.0016606 0.0591869
511 0.3125 -0.00449935 0.00165759 0.0590795
512 0.311891 -0.0045118 0.00165459 0.0589726
513 0.311284 -0.00452419 0.0016516 0.0588661
514 0.31068 -0.00453654 0.00164862 0.05876
515 0.312016 -0.00451308 0.00164554 0.05865
516 0.311412 -0.00448971 0.00164247 0.0585405
517 0.310811 -0.00446643 0.00163941 0.0584315
518 0.312139 -0.0044996 0.00163715 0.0583512
519 0.311538 -0.00453265 0.00163491 0.0582712
520 0.31286 -0.0045283 0.00163178 0.0581597
521 0.314176 -0.00451363 0.00162868 0.0580489
522 0.313576 -0.00449902 0.00162558 0.0579386
523 0.312977 -0.00448446 0.0016225 0.0578287
524 0.312381 -0.00446996 0.00161942 0.0577192
525 0.311787 -0.00445551 0.00161636 0.0576102
526 0.313093 -0.00445345 0.00161332 0.0575016
527 0.3125 -0.00445139 0.00161028 0.0573935
528 0.311909 -0.00444935 0.00160726 0.0572857
529 0.311321 -0.00444731 0.00160425 0.0571784
530 0.310734 -0.00444528 0.00160125 0.0570715
531 0.31015 -0.00444325 0.00159826 0.056965
532 0.309568 -0.00444123 0.00159529 0.0568589
533 0.310861 -0.00437663 0.00159399 0.0568127
534 0.31028 -0.00431227 0.0015927 0.0567667
535 0.309702 -0.00424815 0.00159141 0.0567208
536 0.309125 -0.00418427 0.00159013 0.0566752
537 0.30855 -0.00412063 0.00158885 0.0566297
538 0.307978 -0.00405722 0.00158758 0.0565843
539 0.307407 -0.00399405 0.00158632 0.0565392
540 0.306839 -0.00393111 0.00158505 0.0564942
541 0.306273 -0.0038684 0.0015838 0.0564494
542 0.305709 -0.00380592 0.00158254 0.0564047
543 0.306985 -0.00384377 0.00158073 0.05634
544 0.306422 -0.00388148 0.00157892 0.0562755
545 0.305861 -0.00391904 0.00157712 0.0562113
546 0.305302 -0.00395648 0.00157532 0.0561473
547 0.304745 -0.00399377 0.00157353 0.0560836
548 0.304189 -0.00403093 0.00157175 0.0560201
