STEP ACCRATIO <dR> <dR2> <ENERGY>
37200 0.285879 0.00132259 0.000351883 0.0132207
37300 0.286105 0.00132034 0.000351795 0.0132186
37400 0.286115 0.00131149 0.000351525 0.01321
37500 0.286152 0.00131812 0.000351262 0.0132006
37600 0.286109 0.00131547 0.000351046 0.0131941
37700 0.286146 0.00129613 0.000351296 0.0132092
37800 0.286077 0.00128501 0.000351234 0.013211
37900 0.286246 0.00127878 0.000351496 0.0132232
38000 0.286203 0.00127191 0.000351317 0.0132194
38100 0.286239 0.00127036 0.000351347 0.0132231
38200 0.286223 0.00129106 0.000351128 0.0132146
38300 0.286233 0.00129159 0.000350787 0.0132032
38400 0.286164 0.00128867 0.000350816 0.0132071
38500 0.286226 0.00129105 0.000350565 0.0131991
38600 0.286443 0.0012906 0.000350402 0.0131943
38700 0.286246 0.00128615 0.000349931 0.013177
38800 0.28641 0.00129407 0.000349657 0.0131673
38900 0.286342 0.00129966 0.000349392 0.0131581
39000 0.286249 0.00130771 0.000349064 0.0131466
39100 0.286054 0.00130835 0.000348991 0.0131453
39200 0.286166 0.00129937 0.000348685 0.0131357
39300 0.286379 0.00129706 0.000348713 0.0131383
39400 0.286465 0.00128957 0.000349126 0.0131569
39500 0.28655 0.00129159 0.000349134 0.0131591
39600 0.286306 0.00128754 0.000348817 0.0131488
39700 0.286265 0.00128204 0.000348288 0.0131299
39800 0.286224 0.00127554 0.000347986 0.0131202
39900 0.286284 0.00127157 0.000347745 0.0131127
40000 0.286468 0.0012694 0.000347794 0.0131152
40100 0.286427 0.00125713 0.00034784 0.0131199
40200 0.286237 0.00125832 0.000347476 0.013107
40300 0.286072 0.00125494 0.000347058 0.0130921
40400 0.286181 0.00125512 0.000346918 0.0130902
40500 0.286092 0.00125024 0.000346898 0.0130915
40600 0.285904 0.00124269 0.000346734 0.013087
40700 0.285841 0.00123747 0.000346581 0.0130824
40800 0.285826 0.00124465 0.000346801 0.0130921
40900 0.286081 0.00124169 0.000346953 0.0130999
41000 0.286261 0.00125929 0.000347195 0.0131095
41100 0.286222 0.00128295 0.000347233 0.0131118
41200 0.28611 0.00129237 0.000346845 0.0130976
41300 0.286167 0.00128623 0.000346635 0.0130909
41400 0.286104 0.00127272 0.000346518 0.0130887
41500 0.28633 0.00126741 0.000346469 0.0130886
41600 0.286195 0.00125707 0.000346286 0.0130836
41700 0.286156 0.00126178 0.000346193 0.013082
41800 0.286141 0.00124955 0.000345907 0.0130736
41900 0.286127 0.00124547 0.000345473 0.0130582
42000 0.285993 0.00124215 0.000345127 0.0130457
42100 0.286121 0.00124197 0.000344949 0.0130409
42200 0.286012 0.00124015 0.000345001 0.0130446
42300 0.286163 0.00122462 0.000344867 0.0130428
42400 0.286338 0.00123488 0.000345031 0.0130492
42500 0.286182 0.00123254 0.000344648 0.0130355
42600 0.286261 0.00123344 0.000344517 0.0130316
42700 0.286176 0.00122635 0.000344432 0.0130309
42800 0.285998 0.00121631 0.00034426 0.013027
42900 0.286077 0.00123098 0.000344411 0.0130326
43000 0.286272 0.0012376 0.000344829 0.0130506
43100 0.286258 0.00123567 0.000344561 0.0130415
43200 0.28622 0.00124015 0.000344368 0.0130345
43300 0.28646 0.00124013 0.000344536 0.0130432
43400 0.286491 0.00123256 0.000344657 0.0130499
43500 0.286361 0.00123367 0.000344496 0.0130445
43600 0.286461 0.00123109 0.000344465 0.0130453
43700 0.286492 0.00123742 0.000344176 0.0130352
43800 0.286363 0.00122645 0.000344318 0.013045
43900 0.286394 0.00123293 0.000344104 0.0130377
44000 0.286403 0.00122418 0.000344115 0.0130405
44100 0.286343 0.00123899 0.000344303 0.0130485
44200 0.28626 0.00123988 0.000344024 0.0130387
44300 0.286427 0.00123169 0.000344406 0.0130579
44400 0.286593 0.00122571 0.00034492 0.0130814
44500 0.286623 0.00122822 0.000344937 0.0130834
44600 0.286742 0.00124611 0.000345274 0.0130971
44700 0.286772 0.00124494 0.000345541 0.0131101
44800 0.28669 0.00123471 0.000345345 0.0131048
44900 0.286541 0.00124638 0.00034522 0.0131007
45000 0.28646 0.00124583 0.000344764 0.0130839
45100 0.286557 0.00123927 0.000344533 0.0130763
45200 0.286343 0.00123418 0.000344241 0.0130666
45300 0.286329 0.00123795 0.000343984 0.0130575
45400 0.286139 0.00122965 0.00034377 0.0130511
45500 0.286213 0.00123222 0.000343783 0.0130537
45600 0.286112 0.00122876 0.000343439 0.0130417
45700 0.286011 0.00122284 0.000343309 0.0130384
45800 0.286085 0.00122134 0.000343016 0.0130279
45900 0.286138 0.00122122 0.000343104 0.0130325
46000 0.286102 0.0012141 0.000342976 0.0130288
46100 0.286111 0.00120702 0.000343101 0.0130361
46200 0.285968 0.00120543 0.000342652 0.0130193
46300 0.285933 0.00121397 0.000342427 0.0130113
46400 0.286007 0.0012143 0.000342528 0.013016
46500 0.285972 0.00120749 0.000342538 0.0130182
46600 0.286002 0.00119341 0.000342232 0.0130086
46700 0.286032 0.00119209 0.00034194 0.0129982
46800 0.286084 0.00119704 0.00034216 0.0130071
46900 0.286135 0.00119793 0.000342075 0.0130057
47000 0.286207 0.00119889 0.000341702 0.012992
47100 0.28613 0.00120186 0.000341322 0.012978
47200 0.286053 0.00120345 0.000341111 0.0129713
47300 0.286231 0.00121146 0.000341371 0.0129823
47400 0.286239 0.00120579 0.000341283 0.0129809
47500 0.28612 0.00120319 0.000340805 0.012963
47600 0.286002 0.00119471 0.000340722 0.0129624
47700 0.285906 0.00119536 0.000340467 0.0129534
47800 0.285977 0.00119555 0.000340547 0.0129579
47900 0.286007 0.00119067 0.00034037 0.0129523
48000 0.286098 0.00118596 0.000340464 0.0129578
48100 0.285982 0.00117372 0.000340544 0.0129627
48200 0.28599 0.00118138 0.000340568 0.0129643
48300 0.285998 0.00117757 0.000340695 0.0129713
48400 0.286006 0.00116085 0.000340742 0.0129753
48500 0.285973 0.00116451 0.000340828 0.012979
48600 0.286002 0.00116738 0.000340956 0.0129841
48700 0.285846 0.00116189 0.000340667 0.0129735
48800 0.285773 0.0011741 0.000341001 0.0129858
48900 0.285843 0.0011624 0.000340837 0.0129813
49000 0.285892 0.00115985 0.000340703 0.0129775
49100 0.286084 0.00116987 0.000340861 0.0129837
49200 0.286051 0.00115649 0.000341069 0.0129953
49300 0.285958 0.00116023 0.000340663 0.0129799
49400 0.285885 0.00116084 0.000340429 0.0129718
49500 0.285792 0.00116402 0.000340348 0.0129699
49600 0.285821 0.00115235 0.000340293 0.0129695
49700 0.285849 0.00116119 0.000340274 0.0129693
49800 0.285958 0.00116247 0.000339914 0.0129561
49900 0.286066 0.00116353 0.000339957 0.0129584
50000 0.286214 0.00115769 0.000339865 0.0129565
50100 0.286082 0.00115608 0.00033945 0.0129413
50200 0.28603 0.00116518 0.000339277 0.0129351
50300 0.286157 0.00117539 0.000339992 0.0129624
50400 0.286046 0.00116872 0.000339832 0.0129579
50500 0.286153 0.0011642 0.000339751 0.0129564
50600 0.28622 0.00117593 0.000339704 0.0129552
50700 0.286227 0.00117088 0.00033971 0.0129571
50800 0.286235 0.00118068 0.000339832 0.0129635
50900 0.286163 0.00118348 0.00033969 0.0129585
51000 0.286171 0.0011738 0.000339459 0.0129509
51100 0.286139 0.00116163 0.000339552 0.0129572
51200 0.286049 0.00116869 0.00033951 0.0129562
51300 0.285901 0.00117782 0.000339351 0.0129502
51400 0.285909 0.00117902 0.000339107 0.0129409
51500 0.28582 0.0011813 0.000339289 0.0129475
51600 0.285789 0.00118346 0.000339487 0.0129558
51700 0.285681 0.00118712 0.000339336 0.0129502
51800 0.285921 0.00119211 0.000339443 0.0129558
51900 0.285833 0.00119513 0.00033965 0.0129647
52000 0.285668 0.00119908 0.00033925 0.0129496
52100 0.285772 0.00120051 0.000339189 0.0129482
52200 0.285933 0.00119716 0.00033922 0.0129506
52300 0.285979 0.00120668 0.000339171 0.012949
52400 0.286025 0.00121302 0.000339037 0.0129449
